iter	Logloss
0	0.6849240002
1	0.6734377438
2	0.6633596043
3	0.6557483154
4	0.6452580762
5	0.6371826067
6	0.6276921097
7	0.6194178673
8	0.612763411
9	0.6037353841
10	0.597159808
11	0.58916934
12	0.5821312041
13	0.5757516051
14	0.5691483938
15	0.5621748609
16	0.55659327
17	0.5471683017
18	0.5415983371
19	0.5346308749
20	0.5301237241
21	0.5240706507
22	0.5178490106
23	0.5133078521
24	0.506864063
25	0.5012670375
26	0.4940615492
27	0.4885515725
28	0.4809247618
29	0.4748687261
30	0.4691894
31	0.4637259391
32	0.4579504425
33	0.4538199538
34	0.4484220792
35	0.4423433374
36	0.4375806286
37	0.4318937947
38	0.4271797807
39	0.4223137965
40	0.4171606701
41	0.4129893673
42	0.4091045318
43	0.4052941405
44	0.4002201723
45	0.3963560204
46	0.3912474503
47	0.3875415813
48	0.3836136963
49	0.3799566562
50	0.3772215928
51	0.3727375006
52	0.3701811683
53	0.3669051699
54	0.3637634901
55	0.3598359588
56	0.3563794928
57	0.3525294876
58	0.3473325401
59	0.3443415675
60	0.3407733879
61	0.3372471199
62	0.3337557136
63	0.3306142275
64	0.328150561
65	0.3245919065
66	0.322073699
67	0.318206011
68	0.3147771986
69	0.3111246727
70	0.3087298636
71	0.3063864899
72	0.3038700894
73	0.3017234002
74	0.2996965832
75	0.2974438317
76	0.2948732546
77	0.2917410697
78	0.2888744112
79	0.2864742334
80	0.2843827677
81	0.2812670729
82	0.2782417702
83	0.2761561903
84	0.2737255262
85	0.2716594732
86	0.2692832349
87	0.267060809
88	0.2655369091
89	0.2630517307
90	0.2599773981
91	0.2574364722
92	0.255672525
93	0.2526901846
94	0.2509964595
95	0.2491261183
96	0.2467534055
97	0.2448870106
98	0.2431148442
99	0.2416202627
100	0.2401497197
101	0.2382971108
102	0.2363009856
103	0.2337286571
104	0.2321057502
105	0.2301907235
106	0.2288024347
107	0.2273049674
108	0.224861608
109	0.2227811162
110	0.2210448676
111	0.2196718531
112	0.217993415
113	0.2162291
114	0.2147087504
115	0.2136022716
116	0.2121382932
117	0.2105179338
118	0.2088174623
119	0.2064097328
120	0.2047917335
121	0.2029274421
122	0.2016439887
123	0.1997660772
124	0.1985673861
125	0.1971494385
126	0.1956264729
127	0.1940986618
128	0.1922013863
129	0.1902002678
130	0.1890710383
131	0.1876148474
132	0.1860774956
133	0.1848039931
134	0.1829241803
135	0.1817414821
136	0.1798732498
137	0.1788840355
138	0.1773771414
139	0.1763842257
140	0.1751180343
141	0.1736864128
142	0.1725226803
143	0.1713684552
144	0.1701410352
145	0.1690773186
146	0.1678535515
147	0.1665735732
148	0.165339882
149	0.1637906719
150	0.1628765629
151	0.162035136
152	0.161042876
153	0.1599679567
154	0.158583341
155	0.1576463977
156	0.156438287
157	0.1555356442
158	0.1545001641
159	0.1533291228
160	0.152455526
161	0.151126765
162	0.1500223657
163	0.148823545
164	0.1478545783
165	0.1467358151
166	0.1459058809
167	0.14484092
168	0.1437032786
169	0.142923753
170	0.1419048662
171	0.1407982022
172	0.1397092147
173	0.1388675509
174	0.137968373
175	0.1370534871
176	0.1359902645
177	0.1353150493
178	0.1344038016
179	0.133810511
180	0.1330713387
181	0.1316428818
182	0.1305621349
183	0.1297724104
184	0.1288871152
185	0.1281864249
186	0.1272862863
187	0.1266492549
